C_R1,C_R2,C_Muscular_Fatigue,C_Sleep_Fatigue,C_X,C_Y,Exploit_Explore,A_num,Act,Instant_reward,Future_reward,Discounted_sum_of_rewards,NS_r1,NS_r2,NS_mf,NS_sf,NS_x,NS_y,Instant_Drive,Discounted_deviation,PNS_r1,PNS_r2,PNS_mf,PNS_sf,PNS_x,PNS_y,Loss_J,Loss_f
0.0,0.0,0.1,0.1,2.0,2.0,exploit,0,walking_right,2.294194221496582,tensor(0.0004),tensor(2.2946),-0.05,-0.1,0.100200005,0.10005,2.1,2.0,2.3480842113494873,0.0046070814,-0.074805096,0.024145056,0.09865147,0.2610287,1.9161892,2.0323467,5.492764,0.07677652
-0.05,-0.1,0.100200005,0.10005,2.1,2.0,exploit,0,walking_right,2.4252243041992188,tensor(0.0004),tensor(2.4256),-0.0975,-0.195,0.1004004,0.100100026,2.1999998,2.0,2.4542882442474365,0.004657758,-0.11290172,-0.12230823,0.103846215,0.23783585,2.00641,2.0214272,6.002082,0.062440522
-0.0975,-0.195,0.1004004,0.100100026,2.1999998,2.0,exploit,0,walking_right,2.549602746963501,tensor(0.0004),tensor(2.5500),-0.142625,-0.28525,0.100601204,0.10015008,2.2999997,2.0,2.555182695388794,0.005096311,-0.05288452,-0.22386934,0.10049392,0.20544639,2.2245972,2.0612173,6.5043297,0.03234136
-0.142625,-0.28525,0.100601204,0.10015008,2.2999997,2.0,exploit,0,walking_right,2.6733574867248535,tensor(0.0003),tensor(2.6737),-0.18549375,-0.3709875,0.10080241,0.100200154,2.3999996,2.0,2.6510331630706787,0.0060283705,-0.09839611,-0.32629615,0.063762516,0.11438617,2.3707469,2.0289953,6.996391,0.012852964
-0.18549375,-0.3709875,0.10080241,0.100200154,2.3999996,2.0,exploit,0,walking_right,2.7962050437927246,tensor(0.0003),tensor(2.7965),-0.22621906,-0.45243812,0.10100401,0.10025025,2.4999995,2.0,2.742091655731201,0.0060602925,-0.15142576,-0.51683336,0.08301361,0.11880154,2.4682868,1.9553372,7.4863644,0.013409059
-0.22621906,-0.45243812,0.10100401,0.10025025,2.4999995,2.0,exploit,0,walking_right,2.904862642288208,tensor(0.0002),tensor(2.9051),-0.2649081,-0.5298162,0.10120602,0.10030038,2.5999994,2.0,2.8285973072052,0.0059386073,-0.24375117,-0.5435421,0.02949258,0.047203742,2.5566084,2.0013232,7.9673085,0.010482615
-0.2649081,-0.5298162,0.10120602,0.10030038,2.5999994,2.0,exploit,0,walking_right,3.005331516265869,tensor(0.0002),tensor(3.0055),-0.3016627,-0.6033254,0.10140843,0.10035053,2.6999993,2.0,2.910778045654297,0.0069259014,-0.28259394,-0.71483684,0.08088116,0.08090548,2.7841418,1.9802135,8.428493,0.021069348
-0.3016627,-0.6033254,0.10140843,0.10035053,2.6999993,2.0,exploit,0,walking_right,3.0903217792510986,tensor(0.0001),tensor(3.0905),-0.3365796,-0.6731592,0.10161125,0.1004007,2.7999992,2.0,2.9888501167297363,0.0067822994,-0.30860907,-0.7488872,0.14017361,0.14492775,2.8668528,1.9260314,8.889118,0.01992755
-0.3365796,-0.6731592,0.10161125,0.1004007,2.7999992,2.0,exploit,0,walking_right,3.166760206222534,tensor(7.4949e-05),tensor(3.1668),-0.36975062,-0.73950124,0.10181447,0.1004509,2.8999991,2.0,3.063018798828125,0.006930865,-0.5217179,-0.77624565,0.19996022,0.104307376,2.830138,2.025929,9.338827,0.039644565
-0.36975062,-0.73950124,0.10181447,0.1004509,2.8999991,2.0,exploit,0,walking_right,3.235142230987549,tensor(-4.9979e-06),tensor(3.2351),-0.4012631,-0.8025262,0.1020181,0.10050113,2.999999,2.0,3.133479356765747,0.007621493,-0.47563928,-0.85313046,0.1393171,0.030583762,3.050727,1.950837,9.767553,0.01936258
-0.4012631,-0.8025262,0.1020181,0.10050113,2.999999,2.0,exploit,0,walking_right,3.295365571975708,tensor(-4.0923e-05),tensor(3.2953),-0.43119994,-0.8623999,0.10222214,0.10055138,3.099999,2.0,3.2004165649414062,0.0077037555,-0.5382744,-0.9442345,0.08349213,0.08572219,3.1613991,1.9520024,10.188609,0.024806315
-0.43119994,-0.8623999,0.10222214,0.10055138,3.099999,2.0,exploit,0,walking_right,3.345592737197876,tensor(-6.1723e-05),tensor(3.3455),-0.45963994,-0.9192799,0.10242658,0.10060166,3.1999989,2.0,3.264007329940796,0.0076964255,-0.4893221,-0.8383077,0.1562015,0.0008324906,3.2829466,2.0235665,10.602432,0.02771886
